iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.0,0.0,0.0,0.0,0.564373501789578,0.0013475075599747204,0.5641804715045511,0.001487332163184876
1,0.0,0.0,0.0,0.0,0.4683608223864201,0.007155077986985924,0.46751177491701423,0.008413748885453059
2,0.0,0.0,0.0,0.0,0.3955808919876633,0.0070394401223277635,0.39421439215699217,0.009031618089678159
3,0.0,0.0,0.0,0.0,0.3399959955217402,0.006260475955171263,0.3383113659792216,0.006245417375390622
4,0.0,0.0,0.0,0.0,0.2993370520477011,0.005010210624372327,0.2977790500424572,0.004432992612800417
5,0.0,0.0,0.0,0.0,0.2689161647787198,0.005019609130607884,0.2667494520934329,0.005759196519059866
6,0.0,0.0,0.0,0.0,0.24518267186606835,0.004937770041938354,0.24280942190532473,0.006120709869007897
7,0.0,0.0,0.0,0.0,0.22460470841402097,0.004097902694734523,0.2227207365979132,0.004391030106068721
8,0.0,0.0,0.0,0.0,0.21061613593527664,0.003827602990017257,0.20862686558077348,0.004865347403115758
9,0.0,0.0,0.0,0.0,0.2008063171185072,0.0028855283044585535,0.19868753568298073,0.003863017093386118
10,0.0,0.0,0.0,0.0,0.19205451636506576,0.0031995029004287406,0.18979508387740399,0.0024947796235318264
11,0.0,0.0,0.0,0.0,0.1844711019313208,0.0022936866759168946,0.18176531996084697,0.0023775146616954596
12,0.0,0.0,0.0,0.0,0.17940093193303294,0.002120275669036515,0.17664885421773335,0.0029872220495257267
13,0.0,0.0,0.0,0.0,0.1742364119455762,0.0016825512770978195,0.17145985602013097,0.00365706686270942
14,0.0,0.0,0.0,0.0,0.1703139326093735,0.002503413626807633,0.16732230196562006,0.0030428975073776743
15,0.0,0.0,0.0,0.0,0.16744858751481206,0.002448835716153896,0.16411556140774325,0.0030647371801437104
16,0.0,0.0,0.0,0.0,0.1655301009269349,0.002728200714364121,0.161926586827275,0.002927204499035956
17,0.0,0.0,0.0,0.0,0.1638797745932403,0.0031672064913630207,0.16004170585991523,0.0029184684854297507
18,0.0,0.0,0.0,0.0,0.16223085378880833,0.0033884339429810445,0.1581341935709716,0.0028122556234535913
19,0.0,0.0,0.0026666666666666666,0.005962847939999439,0.16046745030828333,0.0036913708513517194,0.15609720646292508,0.002970487304228837
20,0.0,0.0,0.0026666666666666666,0.005962847939999439,0.15855974761744054,0.004956626094909766,0.15395351109929914,0.0016987992785679924
21,0.0,0.0,0.0026666666666666666,0.005962847939999439,0.15760694383746032,0.004990283013516023,0.1526984619214744,0.002004762154187944
22,0.0,0.0,0.0026666666666666666,0.005962847939999439,0.15685088999578226,0.00510450532640678,0.15171892488995323,0.001924764052134644
23,0.0,0.0,0.0026666666666666666,0.005962847939999439,0.15630857255797245,0.005166851824097752,0.1508471335734483,0.0019133059345229453
24,0.0,0.0,0.0026666666666666666,0.005962847939999439,0.1554917727526407,0.005260221835344233,0.1498234318817138,0.0022027794295712663
25,0.0,0.0,0.0026666666666666666,0.005962847939999439,0.15515669263846074,0.005498007746691539,0.1493099468634209,0.0023204116935420286
26,0.0,0.0,0.0026666666666666666,0.005962847939999439,0.15428268421547958,0.005825895053040812,0.1481670461909545,0.0019576466881476287
27,0.0,0.0,0.0026666666666666666,0.005962847939999439,0.1541779768325187,0.005899621880164001,0.1476103194113378,0.0018782535395134626
28,0.0,0.0,0.0026666666666666666,0.005962847939999439,0.15361801897106703,0.006106331886565487,0.1469329180342217,0.001877637815775718
29,0.010256410256410255,0.022934030538459375,0.007894736842105262,0.017653168243419393,0.15332500680944702,0.006216020290756811,0.1464140738657572,0.0019619478967468603
30,0.010256410256410255,0.022934030538459375,0.007894736842105262,0.017653168243419393,0.15276890195432538,0.006096412644430024,0.14559123187794087,0.00235095605465968
31,0.010256410256410255,0.022934030538459375,0.007894736842105262,0.017653168243419393,0.1525157178511472,0.006150382649978463,0.14513791778783616,0.002275461498262899
32,0.010256410256410255,0.022934030538459375,0.007894736842105262,0.017653168243419393,0.1524009550500284,0.006326685525236539,0.14489207898165754,0.0023265870729960395
33,0.010256410256410255,0.022934030538459375,0.007894736842105262,0.017653168243419393,0.15214731609658178,0.006460562905399672,0.1442906547734013,0.0025555458966101006
34,0.010256410256410255,0.022934030538459375,0.010561403508771928,0.017162701583336402,0.15207454098095538,0.006544875800067504,0.14404051951233987,0.002510335402348887
35,0.02078272604588394,0.028461919193444676,0.010509803921568629,0.017054089945006283,0.15204901241099084,0.006707230806540955,0.14380681518660787,0.002545072761885934
36,0.02078272604588394,0.028461919193444676,0.010509803921568629,0.017054089945006283,0.15186997562904705,0.007090601937733878,0.14348322612443648,0.002390200165039803
37,0.02078272604588394,0.028461919193444676,0.010509803921568629,0.017054089945006283,0.15134546158571155,0.007325672943249975,0.14293974530455394,0.002244420711219654
38,0.02078272604588394,0.028461919193444676,0.00784313725490196,0.01753778805882188,0.15126779612949104,0.007343412564199454,0.14268151716180724,0.002332260443546542
39,0.02078272604588394,0.028461919193444676,0.010492143877418517,0.017050480465458567,0.15132243769179882,0.007378917154860939,0.14252435862536889,0.002349079410863684
40,0.02078272604588394,0.028461919193444676,0.013038617012126946,0.022494462293008295,0.15122016285846557,0.007425452775547179,0.14229642705445072,0.002349213066494194
41,0.02078272604588394,0.028461919193444676,0.015687623634643502,0.02132459981449362,0.15127764365948398,0.007542506888172663,0.1421260768657147,0.0024023282492770318
42,0.02078272604588394,0.028461919193444676,0.015687623634643502,0.02132459981449362,0.1510359852884761,0.007650550938543565,0.14178082685059937,0.002167735416437082
43,0.02078272604588394,0.028461919193444676,0.015687623634643502,0.02132459981449362,0.15080258968694854,0.007793291617609945,0.1414120084778305,0.002245636547748727
44,0.02078272604588394,0.028461919193444676,0.0183194349510139,0.02174218348037061,0.15071625856876184,0.007847435473665686,0.14110303964311258,0.002278336043727156
45,0.02078272604588394,0.028461919193444676,0.013038617012126946,0.02249446229300829,0.15075385772342895,0.007858833487308122,0.14094439271320675,0.0022801733250042595
46,0.02078272604588394,0.028461919193444676,0.01565276828434723,0.023270555977476345,0.15073605452227387,0.007951109085966804,0.1407791729685643,0.0023628221668945556
47,0.02078272604588394,0.028461919193444676,0.0183194349510139,0.02174218348037061,0.15066965078010214,0.00799689488520236,0.14055894629601084,0.0023219264680105684
48,0.02078272604588394,0.028461919193444676,0.0183194349510139,0.02174218348037061,0.15066067875749947,0.008047835803742033,0.140446098756998,0.002320594974107574
49,0.02078272604588394,0.028461919193444676,0.025894419306184014,0.032711629564459895,0.15061553398946398,0.008064844942360745,0.14029721902760128,0.0024025618158633787
50,0.02078272604588394,0.028461919193444676,0.028543425928700572,0.030555697809449132,0.15049022760927053,0.008089162877101227,0.14008233714657026,0.0023363392399953966
51,0.02078272604588394,0.028461919193444676,0.030928435509224785,0.029088706458300518,0.15041271254353156,0.008105110017165766,0.1399198035070727,0.0023127231552481833
52,0.02078272604588394,0.028461919193444676,0.03862897818546803,0.0291135297582149,0.15042417663772417,0.008143349862318456,0.13978394794816326,0.002306908257356349
53,0.02078272604588394,0.028461919193444676,0.035997631607101586,0.031017281476451993,0.15033565387180464,0.008202322339124952,0.13954545275859373,0.0024425673444252293
54,0.020526315789473688,0.028122210541879047,0.038387568714019826,0.03607821146840381,0.15021996087547315,0.008276185685130083,0.13937191542678434,0.0024172515015823196
55,0.020526315789473688,0.028122210541879047,0.03842173606982005,0.036079792618441936,0.1502615580765903,0.008246814989469936,0.1392362431999898,0.0024541397365714993
56,0.02078272604588394,0.028461919193444676,0.03603179896290181,0.03102241105070729,0.15013048921345015,0.008291726765039045,0.1390690079161472,0.002464471929599863
57,0.02078272604588394,0.028461919193444676,0.03842173606982005,0.036079792618441936,0.15023906259389083,0.00833268767238249,0.13892757739191908,0.002480471829945803
58,0.02078272604588394,0.028461919193444676,0.03603179896290181,0.03102241105070729,0.1502426399062152,0.008261911031087766,0.13879729030388102,0.0025338520187984754
59,0.02078272604588394,0.028461919193444676,0.043564937239511284,0.03332104299842316,0.150220200032643,0.008360383831114726,0.13868600651092186,0.002538969363115107
60,0.020526315789473688,0.028122210541879047,0.043564937239511284,0.03332104299842316,0.15010411940516719,0.008493848858474946,0.138484813868864,0.002531103478947388
61,0.020526315789473688,0.028122210541879047,0.041035887342040334,0.0342254451336297,0.15009840961780224,0.008633890622391855,0.13833248350598834,0.002562946694573799
62,0.020526315789473688,0.028122210541879047,0.041035887342040334,0.0342254451336297,0.15008820145132667,0.008594087757050908,0.1382171722564846,0.002547081255582306
63,0.020526315789473688,0.028122210541879047,0.04609531009246478,0.033364380592535665,0.1500546070059285,0.008866957241729622,0.13799760790954704,0.0026342027478050973
64,0.020526315789473688,0.028122210541879047,0.04869248931503101,0.0305458289276552,0.1500786252393094,0.008866359068334962,0.13773378772500827,0.0023623666064655196
65,0.020526315789473688,0.028122210541879047,0.04869248931503101,0.0305458289276552,0.15001352707546045,0.008937158331758038,0.13754018934452808,0.0023519485509560256
66,0.020526315789473688,0.028122210541879047,0.04869248931503101,0.0305458289276552,0.150007039272732,0.00891683122466142,0.13738602676076167,0.0023610182061244303
67,0.020526315789473688,0.028122210541879047,0.05373689462509096,0.030637766786212186,0.15000529068168295,0.008935560773019123,0.13727624059371152,0.002374980312017669
68,0.020526315789473688,0.028122210541879047,0.05123896244973943,0.03008553192387514,0.14996710185115997,0.008950196599299977,0.13712126075554534,0.002411568812165352
69,0.020526315789473688,0.028122210541879047,0.05123896244973943,0.03008553192387514,0.14988361580559667,0.008933085891270301,0.13699696196078856,0.0024065964943701095
70,0.02078272604588394,0.028461919193444676,0.05620939461967863,0.027964666717179672,0.1498401227864084,0.008998051063940376,0.13682496684905354,0.0024158095698786184
71,0.02078272604588394,0.028461919193444676,0.058675506002987474,0.02934441512720416,0.14995960845533815,0.009126451516034206,0.13661262467484056,0.002520563523222335
